Year	Primary Enrollment	GDP
2001	130132544	1053.108243
2002		1148.50829
2003		1288.643252
2004		1508.668098
2005		1753.417829
2006	108925224	2099.229435
2007	107394752	2693.970063
2008	105950504	3468.304602
2009	103617064	3832.236432
2010	101018624	4550.453108
2011	99707840	5614.352135
2012	99540480	6300.615118
2013	98870816	7020.338485
2014	95107120	7636.116601
2015	95958040	8016.431435
2016	98189336	8094.363367
2017	100321024	8816.986905
2018	101872976	9905.342004
2019	104325248	10143.8382
2020	106250528	10408.66976
"Indicator Name;Primary education, pupils;GDP per capita (current US$)"		
